val1,val2,val3,last_matrix,num_moves_Q_learning_needs,first_move_by_Q_learning,Q_table_val
3,6,3,2,6,1,9880.299600299879
-3,-2,3,4,6,0,9880.299600299879
-2,0,-2,3,4,0,9920.119920019999
5,11,5,3,10,1,9800.897604194965
1,-8,-1,2,10,0,9800.89709331072
4,-7,-6,4,10,1,9800.897604194965
-6,1,0,1,8,0,9840.55888139888
-2,0,2,4,4,0,9920.119920019999
0,4,0,4,8,0,9840.55888139888
3,4,5,1,8,1,9840.55888139888
2,-8,2,3,10,2,9800.89760419495
1,2,5,2,6,3,9880.299600299879
1,2,1,3,4,0,9920.119920019999
4,-12,-4,1,8,1,9840.55888139888
-1,1,-3,2,4,2,9920.119920019999
1,0,-3,1,4,1,9920.119920019999
5,1,3,2,8,1,9840.55888139888
3,-10,3,3,12,2,9718.187127709447
-1,0,1,1,2,0,9960.02
-3,-18,7,1,10,3,9800.897604194965
2,18,4,3,12,2,9761.31432979146
-3,-4,3,3,6,0,9880.299600299879
5,-5,-1,1,6,2,9880.299600299879
1,-7,-1,1,10,0,9800.897604194963
3,-4,1,1,8,0,9840.55888139888
0,0,-4,4,4,2,9920.119920019999
2,-15,-6,4,10,0,9800.897604194965
12,-10,0,1,14,1,9721.81273998002
-2,-7,-2,2,10,0,9800.897604194957
1,6,1,4,8,0,9840.55888139888
1,-3,-1,3,6,0,9880.299600299879
-5,-8,-1,3,10,0,9800.897604194965
-7,19,-1,4,12,2,9761.31560988418
-5,0,3,2,8,0,9840.55888139888
-1,6,-5,4,8,1,9840.55888139888
-4,-4,-2,2,8,3,9840.55888139888
6,-13,-4,4,10,1,9800.897604194864
1,6,3,2,6,0,9880.299600299879
2,1,-4,4,8,1,9840.55888139888
-4,6,-4,3,8,0,9840.55888139888
1,3,1,2,6,0,9880.299600299879
-1,7,-1,3,10,1,9800.897604194965
5,-18,-3,2,10,0,9800.89760419496
-2,10,0,3,12,1,9761.315603162106
-8,-16,4,3,12,0,9761.31560988418
-3,-9,3,4,6,3,9880.299600299879
-10,13,-2,4,12,2,9752.035100771254
-5,-24,7,3,12,0,9761.31560988418
-1,2,-1,2,4,1,9920.119920019999
-2,-9,-4,2,12,0,9761.31560465013
-2,-2,0,2,4,3,9920.119920019999
0,-2,2,2,4,1,9920.119920019999
-2,12,-4,1,8,1,9840.55888139888
1,-4,5,3,8,1,9840.55888139888
-3,-12,-1,3,12,1,9761.31560988418
3,3,-1,3,6,3,9880.299600299879
-5,-13,1,4,10,3,9800.897604194965
4,5,-2,1,10,0,9800.897604193917
2,1,0,1,4,1,9920.119920019999
-4,14,-2,1,10,1,9800.897604194965
-1,6,7,3,10,0,9800.897604194965
-3,-7,3,3,6,3,9880.299600299879
6,8,0,4,10,1,9800.897604194965
-4,7,2,4,10,2,9800.897604194965
1,-7,5,1,10,1,9800.897604194965
-5,28,-7,4,12,0,9761.31560988418
0,-10,-6,4,10,0,9800.897604194965
1,-10,1,4,12,0,9761.31466467269
-3,-9,1,4,8,3,9840.55888139888
-1,-1,-5,3,8,0,9840.55888139888
2,4,0,2,6,3,9880.299600299879
-1,-2,-1,2,6,0,9880.299600299879
0,3,4,2,6,0,9880.299600299879
-2,-19,2,1,14,1,9714.155644435883
-4,3,-2,2,6,0,9880.299600299879
0,-1,6,3,8,1,9840.55888139888
1,-1,5,3,8,1,9840.55888139888
-4,10,-4,4,8,0,9840.55888139888
0,6,6,2,8,0,9840.55888139888
2,-7,2,1,10,1,9800.699203250431
4,-8,0,4,8,2,9840.55888139888
-2,5,-2,3,6,1,9880.299600299879
3,1,-3,4,8,1,9840.55888139888
-1,-6,3,2,6,1,9880.299600299879
-2,-1,2,2,4,0,9920.119920019999
1,-5,1,4,8,2,9840.558881398658
0,0,0,4,0,0,10000.0
8,8,4,1,12,3,9728.098634567648
1,10,-3,3,12,0,9761.31560988418
2,-9,-6,4,8,2,9840.55888139888
2,4,-4,2,8,1,9840.55888139888
-4,-8,2,3,6,3,9880.299600299879
0,-1,-2,3,4,0,9920.119920019999
-6,-8,2,3,8,0,9840.558881398867
4,7,-2,1,10,3,9800.897604194965
-2,14,6,2,14,2,9721.812739854871
-4,-30,4,4,14,1,8645.861352771668
-3,11,-3,2,8,1,9840.55888139888
3,0,1,4,4,1,9920.119920019999
-4,-10,-2,2,12,1,9756.091912401522
0,4,-2,3,6,1,9880.299600299879
-1,-9,-3,2,10,0,9800.897604194965
0,4,2,3,6,0,9880.299600299879
3,4,-3,3,10,0,9800.897602897425
4,7,4,1,8,1,9840.55888139888
2,9,-2,2,12,1,9760.860998628112
-1,-3,-1,3,6,3,9880.299600299879
1,-6,-3,2,6,0,9880.299600299879
4,2,0,2,6,1,9880.299600299879
-5,35,-11,4,16,2,9636.159803834844
-3,16,-3,1,10,1,9800.897604194965
-4,4,-4,3,8,0,9840.55888139888
-3,-5,3,1,6,0,9880.299600299879
2,-2,2,3,6,1,9880.299600299879
4,30,10,2,14,3,9471.34591749614
1,6,3,3,6,0,9880.299600299879
1,1,-1,1,4,1,9920.119920019999
-2,9,-6,2,8,2,9840.55888139888
-4,-8,0,3,8,3,9840.55888139888
0,7,-4,4,8,1,9840.55888139888
-1,3,-1,3,6,1,9880.299600299879
-1,0,-1,4,2,0,9960.02
6,-2,8,1,16,1,9682.3888363128
-4,-6,-2,4,10,0,9800.897604194965
-3,-17,1,2,14,3,9721.812736629186
0,4,-4,1,6,1,9880.299600299879
-7,11,-3,4,10,0,9800.897604194965
6,-5,-6,1,12,1,9760.873314605298
-1,-12,-7,2,12,0,9760.351428383186
0,9,-2,4,10,1,9800.897604194965
-1,8,-1,2,10,1,9800.897604194965
5,-3,5,1,12,1,9761.315608299908
-4,-19,2,2,12,3,9761.314806037255
-1,-7,7,1,8,3,9840.55888139888
-1,-5,-3,3,8,0,9840.55888139888
-3,-12,1,1,10,1,9800.897604194965
2,-3,-4,2,6,1,9880.299600299879
0,-10,6,1,10,1,9800.897604194965
6,35,6,3,14,1,9721.81273998002
4,8,4,3,8,1,9840.55888139888
1,-2,3,1,6,1,9880.299600299879
5,0,-3,3,8,1,9840.55888139888
-3,11,-1,3,10,1,9800.897604194965
-2,1,0,1,4,0,9920.119920019999
0,-3,-6,2,8,0,9840.55888139888
-5,-1,1,2,6,0,9880.299600299879
-1,10,-5,4,8,1,9840.55888139888
-6,6,-4,3,10,0,9800.897604194965
3,19,3,3,12,0,9760.942547765955
-1,-8,11,2,14,3,8587.464256769272
-4,-15,4,3,8,3,9840.55888139888
-4,-5,2,1,6,0,9880.299600299879
-3,6,-1,2,6,2,9880.299600299879
3,-5,-1,4,6,2,9880.299600299879
0,2,-4,4,6,1,9880.299600299879
0,1,2,4,4,0,9920.119920019999
1,1,5,3,6,3,9880.299600299879
8,-17,-2,3,12,0,9761.315527398312
1,9,5,1,8,0,9840.55888139888
8,-1,0,1,10,1,9800.897604194965
-7,-17,1,3,12,3,9761.31560988418
-2,-4,0,2,6,3,9880.299600299879
-2,-3,0,1,6,1,9880.299600299879
2,4,8,1,10,1,9800.897604194965
-3,10,1,1,12,2,9760.990951571686
0,-9,0,3,12,2,9761.140773746005
-7,-13,1,2,10,3,9800.897604194965
0,-2,-8,2,10,0,9800.572391583912
1,-1,-3,1,4,2,9920.119920019999
-1,9,-1,2,10,1,9800.897604194965
7,0,1,1,8,1,9840.55888139888
7,-18,-7,4,14,1,9721.81273998002
1,-5,1,3,8,2,9840.558881398658
5,15,1,1,10,3,9800.897604192
-5,-1,5,4,10,0,9800.897604194965
-2,10,-4,4,8,1,9840.55888139888
-4,-4,4,2,8,0,9840.55888139888
4,16,4,1,8,3,9840.55888139888
3,0,-1,2,4,1,9920.119920019999
7,-6,-3,1,10,1,9800.897604194965
4,15,4,1,8,3,9840.55888139888
3,3,3,3,6,1,9880.299600299879
0,-1,2,2,4,1,9920.119920019999
-2,-3,0,2,6,1,9880.299600299879
5,-8,1,4,10,1,9800.897604194957
1,3,-1,3,6,3,9880.299600299879
-2,-2,6,3,8,0,9840.55888139888
4,-7,0,1,8,2,9840.55888139888
4,2,2,2,6,1,9880.299600299879
-1,-3,3,3,4,3,9920.119920019999
5,-15,-5,3,10,1,9800.897604194965
-1,2,-3,3,4,2,9920.119920019999
-2,2,0,2,4,2,9920.119920019999
1,-2,1,4,6,0,9880.299600299879
0,-9,0,1,12,2,9761.140773746005
10,-37,-2,4,16,2,7053.394971771397
-1,29,-9,4,16,2,9370.469104496897
-4,-4,0,3,6,3,9880.299600299879
-5,-13,1,2,10,3,9800.897604194965
0,-3,0,3,8,0,9840.55888139888
-5,9,-1,2,8,2,9840.55888139888
6,7,0,1,10,0,9800.897604194965
-3,-12,7,3,10,0,9800.897604194965
-5,-35,9,2,14,3,9538.443536733708
-1,-4,-1,1,8,0,9840.55888139888
-3,0,-5,2,8,0,9840.55888139888
3,2,1,3,4,1,9920.119920019999
5,1,-1,1,8,1,9840.55888139888
9,-10,1,1,14,1,9696.104141147325
7,19,5,1,12,1,9761.31560988418
-6,0,4,2,10,0,9800.897604194965
-3,26,-7,4,12,2,9624.718917496199
2,6,2,1,6,0,9880.299600299879
0,-9,4,1,10,1,9800.897604194965
1,4,-5,1,8,1,9840.55888139888
-5,-12,5,1,10,0,9800.897604194965
-3,8,-3,4,6,2,9880.299600299879
-4,8,-2,4,6,2,9880.299600299879
-2,-4,4,1,6,0,9880.299600299879
-3,-5,1,4,6,3,9880.299600299879
4,-15,-4,4,8,2,9840.55888139888
3,3,1,3,4,3,9920.119920019999
-2,3,-4,4,6,0,9880.299600299879
-3,0,-1,4,4,0,9920.119920019999
3,-14,-7,1,10,1,9800.897604194965
6,-9,-4,4,10,1,9800.897604077683
3,-16,-5,1,10,0,9800.897604194965
7,-8,-1,3,10,0,9800.897604194965
-5,4,3,2,10,0,9800.897603807298
4,-10,2,4,12,0,9761.31560988418
-2,-1,-4,2,8,0,9840.55888139888
-6,14,0,4,12,2,9761.31560988418
-4,5,2,2,10,0,9800.897604194965
0,-3,0,1,8,0,9840.55888139888
0,-2,-2,2,4,0,9920.119920019999
-8,7,0,2,10,0,9800.897604194965
0,3,0,2,8,0,9840.55888139888
5,4,1,2,6,1,9880.299600299879
-2,6,4,2,10,0,9800.897482448554
0,-1,2,3,4,1,9920.119920019999
2,-7,4,4,10,1,9800.897604194965
3,-1,3,1,8,1,9840.55888139888
-7,-23,5,2,12,0,9761.315609884176
2,-5,-8,4,10,1,9800.897604194965
-3,-16,3,3,10,1,9800.897604194965
1,-14,5,3,12,1,9761.000375335021
-1,-10,-7,2,12,2,-9.0
-2,1,2,2,6,0,9880.299600299879
7,-19,-1,4,12,2,9760.339337837226
1,1,-1,4,4,1,9920.119920019999
-2,-25,2,3,20,3,9456.595909581449
-4,-19,8,2,12,3,9741.192104807731
0,23,2,3,18,0,8161.311766820829
-6,28,-4,4,12,2,0.0
-1,-5,7,3,8,3,9840.55888139888
1,-11,7,1,12,1,9761.31560988418
-3,-6,-3,2,10,0,9800.897604194965
0,-2,4,2,6,1,9880.299600299879
2,-6,-4,3,6,2,9880.299600299879
0,5,0,3,10,0,9800.897604194965
1,7,3,1,8,0,9840.55888139888
2,-2,0,1,4,2,9920.119920019999
-3,-12,1,3,10,1,9800.897604194965
0,-2,4,3,6,1,9880.299600299879
-6,-12,0,2,10,3,9800.74667028314
5,-16,-5,4,10,1,9800.897604194965
1,1,5,1,6,3,9880.299600299879
3,14,9,1,12,1,9761.31559633922
7,18,3,1,10,1,9800.897604194965
-2,2,4,2,8,0,9840.55888139888
-1,-9,3,1,8,1,9840.55888139888
-2,-11,-4,2,12,0,9761.314794607024
-3,14,3,1,14,0,9721.81273998002
-1,0,5,2,6,0,9880.299600299879
-1,5,1,4,8,2,9840.55888139888
5,12,-1,3,12,0,9755.57978013638
-2,-5,-8,4,12,2,0.0
1,9,-3,1,10,1,9800.897604194965
-2,-1,0,3,4,0,9920.119920019999
2,-5,-8,1,10,1,9800.897604194965
-5,3,-3,3,8,0,9840.55888139888
1,2,-3,1,6,1,9880.299600299879
2,3,0,2,6,0,9880.299600299879
-1,12,-5,4,10,1,9800.89760290189
2,-3,-4,4,6,1,9880.299600299879
1,-3,1,1,6,2,9880.299600299879
4,-15,0,2,12,0,9755.930345343935
-2,1,-2,4,4,0,9920.119920019999
5,-5,-1,3,6,2,9880.299600299879
-1,-11,-3,3,12,0,9761.019742699085
-3,1,-1,1,4,0,9920.119920019999
5,-7,-3,1,8,1,9840.55888139888
2,13,0,2,14,2,9721.812739978528
2,-1,4,2,8,1,9840.55888139888
9,14,9,3,18,1,9643.043741029012
1,7,3,3,8,0,9840.55888139888
-4,-23,4,3,12,3,9757.916312301071
-2,14,-4,1,10,1,9800.897604194965
5,-13,-1,1,10,2,9800.897604194965
8,12,0,3,12,1,9761.315609076188
-3,2,1,1,6,0,9880.299600299879
4,-8,-4,2,8,1,9840.55888139888
-8,11,-4,2,12,0,9761.31560988418
0,-5,4,2,8,1,9840.55888139888
-7,-42,9,4,16,3,9682.388835310405
3,14,3,1,10,0,9800.897604194965
2,-2,-8,4,10,1,9800.852072267218
-2,-5,-2,4,8,3,9840.55888139888
0,4,0,2,8,0,9840.55888139888
-3,11,-7,4,10,0,9800.897604194965
7,-5,1,1,10,1,9800.897604194965
-3,-6,-5,1,12,0,9761.315609540092
-2,4,-4,1,6,0,9880.299600299879
5,12,3,1,8,1,9840.55888139888
0,-6,-6,3,8,0,9840.55888139888
6,12,4,1,10,1,9800.897604194965
1,5,1,3,8,0,9840.55888139888
2,-4,0,3,6,2,9880.299600299879
5,11,3,3,8,1,9840.55888139888
3,0,3,3,6,1,9880.299600299879
-1,1,-3,4,4,2,9920.119920019999
-5,-16,3,2,10,0,9800.897604194965
4,-7,-2,1,6,2,9880.299600299879
2,9,0,2,10,3,9789.220923999303
-3,4,-5,4,8,0,9840.55888139888
-4,7,0,4,8,2,9840.55888139888
1,-6,-3,4,6,0,9880.299600299879
-4,5,2,4,10,0,9800.897604194965
4,-3,4,1,10,1,9800.897604194965
-1,4,-1,4,6,1,9880.299600299879
10,17,4,1,14,1,9721.81273998002
-2,-9,2,4,8,1,9840.55888139888
-3,-3,-1,4,6,3,9880.299600299879
7,11,-1,3,12,3,9761.31560988418
-6,6,0,2,8,2,9840.55888139888
6,-11,-4,1,10,1,9800.897604194965
1,-6,-1,1,8,0,9840.55888139888
1,1,-3,4,6,1,9880.299600299879
4,-12,-6,4,10,1,9800.897604194965
1,3,-9,4,12,2,9760.433326142344
1,-9,5,4,10,1,9800.897604194965
7,-7,-1,4,8,2,9840.55888139888
-3,-9,3,2,6,3,9880.299600299879
-3,-8,1,2,8,1,9840.55888139888
-1,-1,3,2,4,3,9920.119920019999
-5,0,1,3,6,0,9880.299600299879
1,0,-3,4,4,1,9920.119920019999
2,8,0,4,10,0,9800.897604194965
0,8,0,3,12,0,9761.31560960933
0,0,0,1,0,0,10000.0
-2,13,-6,1,10,1,9789.593895857655
1,7,-1,3,10,0,9800.897603989593
-2,9,2,4,12,0,9761.31560988418
4,13,0,1,12,0,9761.315609884137
-1,9,1,1,12,2,9761.31560988418
-3,23,-9,2,12,2,0.0
7,9,3,1,10,1,9800.897604194965
3,9,3,3,6,3,9880.299600299879
-1,-7,3,2,8,1,9840.55888139888
-5,-3,3,2,8,0,9840.55888139888
-5,-3,-1,2,8,0,9840.55888139888
-2,26,-8,4,14,2,9720.816799171764
1,0,3,3,4,1,9920.119920019999
5,-12,-5,4,10,1,9800.897604194965
5,-12,-1,3,10,0,9800.897604194965
3,-1,1,1,6,1,9880.299600299879
0,-5,2,2,8,1,9840.55888139888
2,9,6,2,8,3,9840.55888139888
-2,-6,2,2,6,1,9880.299600299879
-1,-5,1,3,8,1,9840.55888139888
-5,26,-3,4,14,2,9613.286064113481
1,1,-1,2,4,1,9920.119920019999
3,0,-7,3,10,1,9800.896442491421
6,1,4,1,10,1,9800.897604194965
-5,6,-5,2,10,0,9800.897604194965
1,18,5,1,12,0,9761.31560988418
4,8,0,2,8,3,9840.55888139888
-2,10,0,2,12,1,9761.315603162106
-2,4,-2,1,4,2,9920.119920019999
2,-6,-2,4,6,0,9880.299600299879
5,18,3,2,10,0,9800.897604194965
6,-12,2,4,12,2,9761.140359710824
4,2,-6,1,12,1,9761.31560988418
-3,8,-1,4,8,1,9840.55888139888
-4,13,-2,2,10,1,9800.897604194965
-6,-11,-2,1,12,3,9761.31560988418
1,0,1,1,2,1,9960.02
2,7,4,4,6,3,9880.299600299879
0,7,2,2,10,0,9800.897604194965
-3,13,-3,4,10,1,9800.897604194965
0,-7,4,1,8,1,9840.55888139888
0,15,8,2,12,0,9761.31560988418
0,-5,-4,1,8,0,9840.55888139888
-6,-10,0,2,10,0,9800.897604194965
-1,-5,-5,1,8,0,9840.55888139888
1,-4,-1,1,6,0,9880.299600299879
-3,-12,1,2,10,1,9800.897604194965
2,6,0,4,8,0,9840.55888139888
-6,7,-6,2,12,0,9761.315522306064
4,8,4,2,8,1,9840.55888139888
2,0,4,4,6,1,9880.299600299879
-2,-11,4,1,8,1,9840.55888139888
4,-10,-6,3,10,1,9800.897604101208
-4,-1,-2,2,8,0,9840.55888139888
2,6,2,2,6,0,9880.299600299879
-3,-10,5,3,8,0,9840.55888139888
8,13,2,3,10,1,9800.897604194965
-3,4,3,3,10,0,9800.897604194777
4,0,0,3,4,1,9920.119920019999
-1,-12,9,1,12,3,9761.315609625974
-4,7,0,3,8,2,9840.55888139888
-5,5,-3,4,8,0,9840.55888139888
0,4,-6,4,8,1,9840.55888139888
-6,-8,4,2,10,0,9800.897604194965
2,21,6,4,12,3,9761.314950034222
-4,-6,0,2,8,0,9840.55888139888
2,1,8,4,10,1,9800.897604194965
-1,-4,5,4,6,3,9880.299600299879
5,4,-1,1,8,1,9840.55888139888
0,17,2,4,16,1,9678.010321076265
1,-2,1,1,6,0,9880.299600299879
-2,-14,2,1,12,1,9761.315609879008
